year,month,price_premium,price_regular_milled,price_special,price_well_milled,rice_stock_total_mt,headline_inflation,rice_inflation,rice_contribution,headline_inflation_lag1,rice_inflation_lag1,rice_contribution_lag1,rainfall,rain_hours,tmax,tmin,tmean,soil_moisture,rh,wind_speed,palay_production_mt,avg_yield_ton_per_ha,rice_area_ha,fert_urea_prilled,fert_urea_granular,fert_ammosul,fert_complete,fert_ammophos,fert_mop,fert_dap
2011,1,38.0,29.2,,31.92,3424300.0,4.0,-0.2,-0.02,,,,390.4,418.0,24.996774193548386,22.387096774193548,23.44516129032258,0.4575806451612903,,,11686.0,,,,,,,,,
2011,2,38.0,29.0,,31.9,3049600.0,4.3,-1.0,-0.09,4.0,-0.2,-0.02,259.7,281.0,25.29642857142857,22.224999999999998,23.560714285714287,0.45653571428571427,,,11686.0,,,,,,,,,
2011,3,38.0,29.05,49.5,31.8,2853000.0,4.5,-1.3,-0.12,4.3,-1.0,-0.09,294.3,378.0,25.719354838709677,22.638709677419353,23.83225806451613,0.4589354838709678,,,11686.0,,,,,,,,,
2011,4,38.0,29.16,50.0,31.84,3080600.0,4.7,1.2,0.11,4.5,-1.3,-0.12,107.4,230.0,26.206666666666667,22.876666666666665,24.259999999999998,0.4196,,,3602.0,,,,,,,,,
2011,5,38.0,29.0,50.0,31.3,3396500.0,4.3,1.2,0.11,4.7,1.2,0.11,270.6,339.0,26.874193548387098,23.387096774193548,24.87741935483871,0.4368064516129032,,,3602.0,,,,,,,,,
2011,6,38.0,29.0,,31.0,3093600.0,4.4,2.1,0.19,4.3,1.2,0.11,307.8,307.0,26.996666666666666,23.37,24.903333333333332,0.4535666666666666,,,3602.0,,,,,,,,,
2011,7,38.0,29.52,48.0,31.44,3021800.0,4.1,2.6,0.23,4.4,2.1,0.19,213.2,214.0,26.712903225806453,23.299999999999997,24.716129032258067,0.43990322580645164,,,5914.0,,,,,,,,,
2011,8,38.0,30.0,48.0,31.65,2720400.0,3.9,0.2,0.02,4.1,2.6,0.23,262.2,273.0,26.73225806451613,23.13225806451613,24.60967741935484,0.4496129032258065,,,5914.0,,,,,,,,,
2011,9,38.0,30.0,48.0,31.9,2415200.0,1.7,-1.9,-0.17,3.9,0.2,0.02,148.4,182.0,27.136666666666667,23.396666666666665,24.87,0.41859999999999997,,,5914.0,,,,,,,,,
2011,10,38.0,30.08,48.0,32.0,2739200.0,1.3,0.2,0.02,1.7,-1.9,-0.17,348.7,306.0,26.62258064516129,23.1,24.6,0.4389354838709677,,,12674.0,,,,,,,,,
2011,11,38.9,30.3,48.25,32.2,3216800.0,1.4,1.2,0.11,1.3,0.2,0.02,223.1,326.0,26.58,23.153333333333332,24.59333333333333,0.45686666666666664,,,12674.0,,,,,,,,,
2011,12,39.2,30.0,49.0,33.0,3097500.0,1.8,1.4,0.12,1.4,1.2,0.11,261.6,369.0,26.129032258064516,23.16774193548387,24.374193548387098,0.4538387096774194,,,12674.0,,,,,,,,,
2012,1,39.2,30.0,50.0,32.25,2627400.0,3.6,11.3,1.0,1.8,1.4,0.12,122.9,273.0,25.81935483870968,22.73548387096774,24.009677419354837,0.43812903225806454,,,11072.0,,,,,,,,,
2012,2,39.2,30.0,49.5,32.1,2331400.0,2.6,11.2,0.99,3.6,11.3,1.0,285.9,341.0,25.7448275862069,22.627586206896552,23.92413793103448,0.4535862068965517,,,11072.0,,,,,,,,,
2012,3,39.2,30.0,50.64,32.44,2012600.0,2.6,11.2,0.99,2.6,11.2,0.99,254.3,318.0,26.070967741935487,22.58709677419355,24.08709677419355,0.42609677419354836,,,11072.0,,,,,,,,,
2012,4,39.2,29.8,50.5,32.2,2637800.0,4.8,11.6,1.03,2.6,11.2,0.99,107.3,247.0,27.103333333333335,23.456666666666667,25.083333333333332,0.4184,,,4086.0,,,,,,,,,
2012,5,39.2,30.0,50.0,32.3,2673300.0,5.6,11.9,1.06,4.8,11.6,1.03,276.9,303.0,27.516129032258064,23.538709677419355,25.225806451612904,0.43541935483870964,,,4086.0,,,,,,,,,
2012,6,39.2,30.0,50.0,32.4,2287308.0,7.2,11.1,0.98,5.6,11.9,1.06,86.6,124.0,27.283333333333335,23.68,25.16,0.42473333333333335,,,4086.0,,,,,,,,,
2012,7,36.6,30.0,50.0,32.3,1915105.0,8.0,11.2,0.99,7.2,11.1,0.98,251.7,312.0,26.467741935483872,23.20967741935484,24.538709677419355,0.4487741935483871,,,6792.0,,,,,,,,,
2012,8,35.9,30.0,50.0,32.0,1616600.0,8.4,11.7,1.04,8.0,11.2,0.99,105.4,119.0,27.496774193548386,23.551612903225806,25.16774193548387,0.4087741935483871,,,6792.0,,,,,,,,,
2012,9,36.0,29.68,50.0,32.0,1441900.0,9.6,11.8,1.05,8.4,11.7,1.04,162.2,248.0,26.46333333333333,23.279999999999998,24.553333333333335,0.4419,,,6792.0,,,,,,,,,
2012,10,35.4,28.9,50.0,31.9,1999000.0,9.6,11.9,1.06,9.6,11.8,1.05,204.5,282.0,26.480645161290322,23.09032258064516,24.44516129032258,0.4481290322580645,,,11920.0,,,,,,,,,
2012,11,35.4,29.15,50.0,32.0,2784600.0,9.6,11.8,1.05,9.6,11.9,1.06,159.1,255.0,26.453333333333333,23.413333333333334,24.733333333333334,0.4516,,,11920.0,,,,,,,,,
2012,12,35.4,29.0,50.0,32.0,2613200.0,8.9,11.8,1.05,9.6,11.8,1.05,110.5,243.0,26.216129032258067,23.216129032258067,24.541935483870965,0.4203548387096774,,,11920.0,,,,,,,,,
2013,1,35.25,28.8,50.0,32.0,2524200.0,7.3,1.8,0.16,8.9,11.8,1.05,368.5,330.0,25.06451612903226,22.5258064516129,23.551612903225806,0.45580645161290323,,,11764.0,,,,,,,,,
2013,2,35.35,29.0,50.0,32.7,2023600.0,8.2,2.3,0.2,7.3,1.8,0.16,159.6,233.0,25.667857142857144,22.72142857142857,23.957142857142856,0.4382142857142857,,,11764.0,,,,,,,,,
2013,3,35.4,29.6,50.0,33.0,1938600.0,8.3,2.4,0.21,8.2,2.3,0.2,62.1,163.0,26.570967741935487,23.096774193548388,24.648387096774194,0.39935483870967736,,,11764.0,,,,,,,,,
2013,4,35.4,29.8,50.0,33.0,2327600.0,5.9,2.0,0.18,8.3,2.4,0.21,77.1,200.0,27.846666666666668,23.916666666666668,25.696666666666665,0.34603333333333336,,,4144.0,,,,,,,,,
2013,5,36.0,29.65,50.5,33.0,2614400.0,5.1,2.1,0.19,5.9,2.0,0.18,250.3,296.0,28.0,24.016129032258064,25.799999999999997,0.3751935483870968,,,4144.0,,,,,,,,,
2013,6,36.32,30.52,51.0,33.6,2313500.0,4.1,2.0,0.18,5.1,2.1,0.19,275.1,321.0,27.053333333333335,23.62,25.076666666666664,0.4547,,,4144.0,,,,,,,,,
2013,7,37.6,33.0,,35.6,2194060.0,3.5,2.2,0.2,4.1,2.0,0.18,363.1,395.0,26.616129032258065,23.125806451612902,24.58709677419355,0.4663548387096774,,,7006.0,,,,,,,,,
