date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,Maize flour (yellow),573,KG,actual,Retail,PHP,15,0.37
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20,0.49
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18,0.44
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Wholesale,PHP,16.35,0.4
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,"meat, fish and eggs",Meat (pork),140,KG,actual,Retail,PHP,105.37,2.6
2000-01-15,Region III,Nueva Ecija,Palayan,171,15.54,121.08,"meat, fish and eggs",Meat (pork),140,KG,actual,Retail,PHP,77,1.9
2000-01-15,Region VI,Iloilo,Iloilo City,175,10.7,122.56,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.4,0.5
2000-01-15,Region VI,Iloilo,Iloilo City,175,10.7,122.56,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Wholesale,PHP,15.6,0.39
2000-01-15,Region VI,Iloilo,Iloilo City,175,10.7,122.56,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,17.8,0.44
2000-01-15,Region VI,Iloilo,Iloilo City,175,10.7,122.56,"meat, fish and eggs",Meat (pork),140,KG,actual,Retail,PHP,88.2,2.18
2000-01-15,Region VII,Cebu,Cebu City,176,10.31,123.89,cereals and tubers,Maize flour (white),134,KG,actual,Retail,PHP,14.9,0.37
2000-01-15,Region VII,Cebu,Cebu City,176,10.31,123.89,cereals and tubers,Maize flour (white),134,KG,actual,Wholesale,PHP,13.6,0.34
2000-01-15,Region VII,Cebu,Cebu City,176,10.31,123.89,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,19.6,0.48
2000-01-15,Region VII,Cebu,Cebu City,176,10.31,123.89,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.1,0.45
2000-01-15,Region VII,Cebu,Cebu City,176,10.31,123.89,"meat, fish and eggs",Meat (pork),140,KG,actual,Retail,PHP,99.77,2.46
2000-01-15,Region XI,Davao del Sur,Davao City,180,7.18,125.44,cereals and tubers,Maize flour (white),134,KG,actual,Retail,PHP,13.7,0.34
2000-01-15,Region XI,Davao del Sur,Davao City,180,7.18,125.44,cereals and tubers,Maize flour (yellow),573,KG,actual,Retail,PHP,12.55,0.31
2000-01-15,Region XI,Davao del Sur,Davao City,180,7.18,125.44,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Wholesale,PHP,16.4,0.4
2000-01-15,Region XI,Davao del Sur,Davao City,180,7.18,125.44,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,16.1,0.4
2000-01-15,Region XI,Davao del Sur,Davao City,180,7.18,125.44,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Wholesale,PHP,15.35,0.38
2000-01-15,Region XII,South Cotabato,Koronadal,181,6.5,124.85,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,18,0.44
2000-01-15,Region XII,South Cotabato,Koronadal,181,6.5,124.85,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Wholesale,PHP,16,0.39
2000-01-15,Region XII,South Cotabato,Koronadal,181,6.5,124.85,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,16.5,0.41
2000-01-15,Region XII,South Cotabato,Koronadal,181,6.5,124.85,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Wholesale,PHP,15,0.37
2000-01-15,Region XII,South Cotabato,Koronadal,181,6.5,124.85,"meat, fish and eggs",Meat (pork),140,KG,actual,Retail,PHP,72.06,1.78
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,Maize flour (yellow),573,KG,actual,Retail,PHP,15.75,0.39
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20,0.49
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Wholesale,PHP,18.35,0.45
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18,0.45
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Wholesale,PHP,16.35,0.4
2000-02-15,Region III,Nueva Ecija,Palayan,171,15.54,121.08,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,19.5,0.48
2000-02-15,Region III,Nueva Ecija,Palayan,171,15.54,121.08,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Wholesale,PHP,18,0.45
2000-02-15,Region III,Nueva Ecija,Palayan,171,15.54,121.08,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18,0.45
2000-02-15,Region III,Nueva Ecija,Palayan,171,15.54,121.08,"meat, fish and eggs",Meat (pork),140,KG,actual,Retail,PHP,77,1.9
2000-02-15,Region IX,Zamboanga del Sur,Zamboanga City,178,6.91,122.07,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,16.85,0.42
