Date,Year,Month,Region,Province,Urea_Prilled,Urea_Granular,Ammosul,Complete,Ammophos,MOP,DAP
2021-01-01,2021,January,REGION VIII,Biliran,1075.0,1068.18,640.63,1125.63,1058.0,1208.57,1663.33
2021-01-01,2021,January,REGION VII,Bohol,1049.0,,730.0,1053.665,1023.75,1197.5,1685.0
2021-01-01,2021,January,REGION VII,Cebu,1158.95,,671.82,1186.14,1050.0,1331.67,1615.45
2021-01-01,2021,January,REGION VIII,Eastern Samar,,1233.0,,1249.5,1220.0,,
2021-01-01,2021,January,REGION VIII,Leyte,1035.0,1036.25,670.0,1572.5,1039.09,1229.0,1650.0
2021-01-01,2021,January,REGION VII,Negros Oriental,965.23,,581.605,1045.155,930.5350000000001,1058.0,1482.535
2021-01-01,2021,January,REGION VIII,Northern Samar,1262.73,,800.0,1305.83,1211.43,1347.86,
2021-01-01,2021,January,REGION VII,Siquijor,1080.0,,730.0,1080.0,1050.0,1200.0,1650.0
2021-01-01,2021,January,REGION VIII,Southern Leyte,1050.0,1146.67,736.67,1185.8,1013.33,1238.0,
2021-01-01,2021,January,REGION VIII,Western Samar,1262.73,,800.0,1305.83,1211.43,1347.86,
2021-03-01,2021,March,REGION VIII,Biliran,1075.0,1068.18,640.63,1125.63,1058.0,1208.57,1663.33
2021-03-01,2021,March,REGION VII,Bohol,1122.3166666666666,,724.8333333333334,1128.2066666666667,1037.9166666666667,1259.8333333333333,1714.9166666666667
2021-03-01,2021,March,REGION VII,Cebu,1226.0,,706.67,1280.0,1200.0,1331.67,1830.0
2021-03-01,2021,March,REGION VIII,Eastern Samar,,1236.5,,1249.5,1220.0,,
2021-03-01,2021,March,REGION VIII,Leyte,1095.8333333333333,1080.0,665.77,1097.5633333333333,1032.88,1209.3033333333333,1476.6666666666667
2021-03-01,2021,March,REGION VII,Negros Oriental,1043.94,,593.51,1047.9133333333332,939.0466666666666,1043.93,1564.6666666666667
2021-03-01,2021,March,REGION VIII,Northern Samar,1251.82,,797.5,1302.5,1203.75,1347.86,
2021-03-01,2021,March,REGION VII,Siquijor,1150.0,,743.3333333333334,1155.0,1083.3333333333333,1236.6666666666667,
2021-03-01,2021,March,REGION VIII,Southern Leyte,1000.0,1135.56,718.57,1151.8,1043.3333333333333,1223.33,
2021-03-01,2021,March,REGION VIII,Western Samar,1239.5466666666666,1207.0,802.7766666666666,1284.2833333333333,1204.1666666666667,1338.24,
2021-04-01,2021,April,REGION VIII,Biliran,1075.0,1068.18,640.63,1125.63,1058.0,1208.57,1663.33
2021-04-01,2021,April,REGION VII,Bohol,1153.325,,692.5,1161.565,1042.71,1238.125,1741.25
2021-04-01,2021,April,REGION VII,Cebu,1172.75,,573.33,1200.065,961.67,1200.0,1633.335
2021-04-01,2021,April,REGION VIII,Eastern Samar,1305.0,1295.0,,1246.25,,,
2021-04-01,2021,April,REGION VIII,Leyte,1101.25,1080.0,666.25,1101.25,1032.27,1217.5,1660.0
2021-04-01,2021,April,REGION VII,Negros Oriental,1122.995,,625.835,1107.855,999.4649999999999,1079.5,1719.7199999999998
2021-04-01,2021,April,REGION VIII,Northern Samar,1284.0,,820.0,1291.5,1166.67,1400.0,
2021-04-01,2021,April,REGION VII,Siquijor,1160.0,,750.0,1170.0,1050.0,1230.0,
2021-04-01,2021,April,REGION VIII,Southern Leyte,1000.0,1135.56,718.57,1151.8,1010.0,1223.33,
2021-04-01,2021,April,REGION VIII,Western Samar,1207.5,1207.0,800.0,1216.25,1235.0,1315.0,
2021-05-01,2021,May,REGION VIII,Biliran,1075.0,1068.18,640.63,1125.63,1058.0,1208.57,1662.4975
2021-05-01,2021,May,REGION VII,Bohol,1140.5175,,728.125,1143.5425,1062.2925,1212.2925,1783.75
2021-05-01,2021,May,REGION VII,Cebu,1194.0,,715.3,1212.29,950.94,1249.47,1768.44
2021-05-01,2021,May,REGION VIII,Eastern Samar,1275.0,1267.25,,1246.25,,,
2021-05-01,2021,May,REGION VIII,Leyte,1206.5425,1164.625,693.03,1127.2424999999998,1055.225,1221.1375,1660.0
2021-05-01,2021,May,REGION VII,Negros Oriental,1158.0825,,656.9649999999999,1106.7975000000001,1034.345,1027.38,1810.835
2021-05-01,2021,May,REGION VIII,Northern Samar,1297.25,,820.0,1300.75,1166.67,1400.0,
2021-05-01,2021,May,REGION VII,Siquijor,1162.5,,772.5,1156.25,1132.5,1260.0,
2021-05-01,2021,May,REGION VIII,Southern Leyte,1000.0,1174.445,751.25,1170.4,1060.0,1220.835,
2021-05-01,2021,May,REGION VIII,Western Samar,1260.83,1210.5,800.0,1227.19,1230.0,1315.0,
2021-07-01,2021,July,REGION VIII,Biliran,1247.5,1248.18,655.63,1161.25,1058.69,1208.57,1663.33
2021-07-01,2021,July,REGION VII,Bohol,1420.0,,792.5,1230.525,1166.67,1255.835,2025.42
2021-07-01,2021,July,REGION VII,Cebu,1293.045,,758.51,1189.7649999999999,1071.65,1225.55,1901.345
2021-07-01,2021,July,REGION VIII,Eastern Samar,1300.0,1296.67,,1292.5,,,
2021-07-01,2021,July,REGION VIII,Leyte,1339.69,1323.75,750.83,1251.44,1145.83,1236.78,1648.75
2021-07-01,2021,July,REGION VII,Negros Oriental,1392.72,,792.885,1235.46,1138.445,1108.25,1974.5
2021-07-01,2021,July,REGION VIII,Northern Samar,1403.0,,906.67,1389.0,1403.0,1433.33,
2021-07-01,2021,July,REGION VII,Siquijor,1380.0,,830.0,1267.5,1205.0,1280.0,
2021-07-01,2021,July,REGION VIII,Southern Leyte,1410.0,1304.445,824.79,1259.5,1086.0,1275.625,
2021-07-01,2021,July,REGION VIII,Western Samar,1315.0,1284.25,825.0,1292.5,1216.67,1355.0,
2021-08-01,2021,August,REGION VIII,Biliran,32246.875,1369.0900000000001,655.63,1197.19,1058.0,1208.4275,1663.33
2021-08-01,2021,August,REGION VII,Bohol,1588.22,,831.25,1282.7725,1209.48,1275.625,2117.9175
2021-08-01,2021,August,REGION VII,Cebu,1521.5,,818.855,1267.5825,1189.585,1392.2075,2046.04
2021-08-01,2021,August,REGION VIII,Eastern Samar,1500.0,1503.2475,,1383.75,,,
2021-08-01,2021,August,REGION VIII,Leyte,1455.8725,1430.1675,821.705,1296.8725,1183.165,1292.6925,1703.75
2021-08-01,2021,August,REGION VII,Negros Oriental,1547.345,,830.905,1307.3375,1203.55,1377.3899999999999,2017.71
2021-08-01,2021,August,REGION VIII,Northern Samar,1482.75,,919.165,1447.75,1482.75,1481.665,
2021-08-01,2021,August,REGION VII,Siquijor,1587.5,,850.0,1282.5,1260.0,1535.0,1990.0
2021-08-01,2021,August,REGION VIII,Southern Leyte,1490.0,1411.6675,786.2475000000001,1287.75,1012.0,1321.5625,
2021-08-01,2021,August,REGION VIII,Western Samar,1494.1675,1491.0,863.75,1415.0,1332.58,1367.1175,
2021-09-01,2021,September,REGION VIII,Biliran,1495.0,1490.0,655.63,1233.13,1058.0,1208.57,1663.33
2021-09-01,2021,September,REGION VII,Bohol,1691.3766666666668,,866.6666666666666,1336.75,1213.3333333333333,1474.7233333333334,2141.6666666666665
