date,year,semester,region,rice_area_ha
2018-S1,2018,1,Region VII,50862.0
2018-S2,2018,2,Region VII,44728.0
2019-S1,2019,1,Region VII,50532.0
2019-S2,2019,2,Region VII,37207.0
2020-S1,2020,1,Region VII,47791.0
2020-S2,2020,2,Region VII,36214.0
2021-S1,2021,1,Region VII,44521.0
2021-S2,2021,2,Region VII,51542.0
2022-S1,2022,1,Region VII,53213.0
2022-S2,2022,2,Region VII,51092.0
2023-S1,2023,1,Region VII,52788.0
2023-S2,2023,2,Region VII,49823.0
2024-S1,2024,1,Region VII,49473.0
2024-S2,2024,2,Region VII,39020.0
2025-S1,2025,1,Region VII,47797.0
2025-S2,2025,2,Region VII,40669.0
