year,month,headline_inflation,rice_inflation,rice_contribution
2011,1,4,-0.2,-0.02
2011,2,4.3,-1,-0.09
2011,3,4.5,-1.3,-0.12
2011,4,4.7,1.2,0.11
2011,5,4.3,1.2,0.11
2011,6,4.4,2.1,0.19
2011,7,4.1,2.6,0.23
2011,8,3.9,0.2,0.02
2011,9,1.7,-1.9,-0.17
2011,10,1.3,0.2,0.02
2011,11,1.4,1.2,0.11
2011,12,1.8,1.4,0.12
2012,1,3.6,11.3,1
2012,2,2.6,11.2,0.99
2012,3,2.6,11.2,0.99
2012,4,4.8,11.6,1.03
2012,5,5.6,11.9,1.06
2012,6,7.2,11.1,0.98
2012,7,8,11.2,0.99
2012,8,8.4,11.7,1.04
2012,9,9.6,11.8,1.05
2012,10,9.6,11.9,1.06
2012,11,9.6,11.8,1.05
2012,12,8.9,11.8,1.05
2013,1,7.3,1.8,0.16
2013,2,8.2,2.3,0.2
2013,3,8.3,2.4,0.21
2013,4,5.9,2,0.18
2013,5,5.1,2.1,0.19
2013,6,4.1,2,0.18
2013,7,3.5,2.2,0.2
2013,8,3.5,2.1,0.19
2013,9,3.2,5.4,0.48
2013,10,3.3,5.3,0.47
2013,11,4.2,5.9,0.52
2013,12,4.9,7.5,0.67
2014,1,5.3,9.4,0.83
2014,2,4.2,9.4,0.83
2014,3,4.3,9.4,0.83
2014,4,5,9.9,0.88
2014,5,5.6,10.6,0.94
2014,6,5.2,10.9,0.97
2014,7,5.3,10.1,0.9
2014,8,5.1,9.8,0.87
2014,9,5,6.7,0.59
2014,10,5.7,7,0.62
2014,11,5.3,6.6,0.59
2014,12,4.3,5,0.44
2015,1,3.3,3.1,0.27
2015,2,3,2.7,0.24
2015,3,2.9,2.6,0.23
2015,4,2.2,1.6,0.14
2015,5,1.6,0.8,0.07
2015,6,1.3,0,0
2015,7,0.9,-0.8,-0.07
2015,8,0.1,-5.3,-0.47
2015,9,0.3,-1.3,-0.12
2015,10,-0.1,-1.6,-0.14
2015,11,-0.2,-1.6,-0.14
2015,12,1,-1.5,-0.13
2016,1,1.4,-1.3,-0.12
2016,2,1.3,-0.1,-0.01
2016,3,1.6,0.1,0.01
2016,4,2,0.7,0.06
2016,5,2.1,0.6,0.05
2016,6,2.3,0.9,0.08
2016,7,2.3,0.3,0.03
2016,8,2.9,4.5,0.4
2016,9,2.2,0,0
2016,10,2.2,-0.8,-0.07
2016,11,3,-0.3,-0.02
2016,12,1.7,-0.6,-0.05
2017,1,2.1,-0.9,-0.08
2017,2,2.6,-2.2,-0.2
2017,3,1.8,-2.4,-0.21
2017,4,1.6,-2.5,-0.22
2017,5,1.6,-2.1,-0.19
2017,6,1.7,-2.1,-0.19
2017,7,1.8,-0.7,-0.06
2017,8,2.3,0.5,0.04
2017,9,2.9,0.4,0.04
2017,10,2.7,1.2,0.11
2017,11,2.2,0.6,0.05
2017,12,1.8,0.8,0.07
2018,1,2.7,-0.1,-0.01
2018,2,3.1,0.4,0.04
2018,3,5.3,2.5,0.22
2018,4,6.2,3.2,0.28
2018,5,6.1,3.2,0.28
2018,6,6.2,5.3,0.47
2018,7,5.7,6.9,0.61
2018,8,5.1,6.1,0.54
2018,9,5.7,6.7,0.59
2018,10,5.3,7,0.62
2018,11,5.6,4.8,0.43
2018,12,5.1,4.8,0.43
2019,1,4.1,5.3,0.47
2019,2,2.7,4.8,0.43
2019,3,1.4,2.7,0.24
2019,4,1.6,1.6,0.14
2019,5,1.6,-0.8,-0.07
2019,6,0.2,-3.8,-0.34
2019,7,0.5,-8.2,-0.73
2019,8,0.9,-7.8,-0.69
2019,9,0.3,-9.6,-0.85
2019,10,-0.3,-11.5,-1.02
2019,11,0.3,-9.6,-0.85
2019,12,1.4,-9.6,-0.85
