"Rice and Corn: Monthly Total Stocks Inventory by Sector"

"Sector","Year","January","February","March","April","May","June","July","August","September","October","November","December"
"Rice: Total Stock","2010",2629100.00,2463300.00,2251900.00,2773400.00,3322000.00,3357700.00,3353500.00,3184200.00,3034000.00,3151100.00,3794600.00,3908000.00
"Rice: Total Stock","2011",3424300.00,3049600.00,2853000.00,3080600.00,3396500.00,3093600.00,3021800.00,2720400.00,2415200.00,2739200.00,3216800.00,3097500.00
"Rice: Total Stock","2012",2627400.00,2331400.00,2012600.00,2637800.00,2673300.00,2287308.00,1915105.00,1616600.00,1441900.00,1999000.00,2784600.00,2613200.00
"Rice: Total Stock","2013",2524200.00,2023600.00,1938600.00,2327600.00,2614400.00,2313500.00,2194060.00,1859500.00,1530310.00,1771300.00,2438700.00,2492900.00
"Rice: Total Stock","2014",2125497.00,2003813.00,1784781.00,2182481.00,2520176.00,2306164.00,2025007.00,1721784.00,1488718.00,1805310.00,2952744.00,3031531.00
"Rice: Total Stock","2015",2662050.00,2350600.00,2265510.00,2542680.00,3167250.00,3019420.00,2568190.00,2244380.00,1955500.00,2196180.00,3107300.00,3441410.00
"Rice: Total Stock","2016",3198790.00,2942840.00,2674165.00,3359008.00,3689410.00,3235290.00,2733640.00,2103160.00,1775760.00,2286570.00,3302330.00,3338980.00
"Rice: Total Stock","2017",2765120.00,2296321.00,2176201.00,2675545.00,3214184.00,2572937.00,2347896.00,2027999.00,1422835.00,1935868.00,2958730.00,2849370.00
"Rice: Total Stock","2018",2289649.00,1795783.00,1697374.00,2182668.00,2909456.00,2360984.00,1990822.00,1520764.00,1168028.00,1589893.00,3000445.00,2718483.00
"Rice: Total Stock","2019",2550701.00,2141232.00,2221423.00,2629031.85,2947423.99,2598338.80,2625253.80,2133840.00,1842373.00,2279729.00,2962460.00,3098013.00
"Rice: Total Stock","2020",2675039.00,2375497.00,2178636.00,2367873.00,2779030.00,2395941.00,2104760.00,1786250.00,1784820.00,2641080.00,3158538.00,2766398.00
"Rice: Total Stock","2021",2331995.00,2193099.02,2080100.35,2444308.90,2584897.35,2530823.49,2177681.00,1578312.23,1332356.90,1954720.67,2418429.07,2377846.29
"Rice: Total Stock","2022",1859447.81,1609248.25,1632510.00,2506130.00,2279957.29,2090620.07,2034574.68,1633359.30,1450885.19,2081839.99,2649810.00,2534590.00
"Rice: Total Stock","2023",1850450.00,1523032.91,1408846.11,1843053.31,1882057.73,1818204.90,1804168.98,1632450.91,1546094.52,2024327.23,1978558.36,1895782.56
"Rice: Total Stock","2024",2027180.48,1510976.97,1366188.44,1856160.79,2075770.81,2163673.78,2177878.72,1867641.11,1659232.97,2281614.84,2461441.52,2556602.38
"Rice: Total Stock","2025",2200210.01,2006140.99,1611715.32,2341826.70,2358648.99,2239878.09,2790554.75,2321437.85,2072433.22,2354896.32,2554138.42,2707224.79
"Rice: Total Stock","2026",2341155.06,2112282.15,1877328.88,2378655.18,2410587.01,2349596.02,2509178.82,..,..,..,..,..
