date,year,semester,region,avg_yield_ton_per_ha
2018-S1,2018,1,Region VII,3.165
2018-S2,2018,2,Region VII,3.2075
2019-S1,2019,1,Region VII,3.395
2019-S2,2019,2,Region VII,3.3075
2020-S1,2020,1,Region VII,3.1299999999999994
2020-S2,2020,2,Region VII,3.345
2021-S1,2021,1,Region VII,3.11
2021-S2,2021,2,Region VII,3.5125000000000006
2022-S1,2022,1,Region VII,2.925
2022-S2,2022,2,Region VII,3.4275
2023-S1,2023,1,Region VII,2.74
2023-S2,2023,2,Region VII,3.3225
2024-S1,2024,1,Region VII,2.6999999999999997
2024-S2,2024,2,Region VII,3.2800000000000002
2025-S1,2025,1,Region VII,2.7824999999999998
2025-S2,2025,2,Region VII,3.4675
