YEAR,MONTH,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2015,1,81.5,29.5,23.9,80,4,360
2015,2,87.9,29.9,23.7,75,4,20
2015,3,34.7,31.2,24.1,72,4,40
2015,4,42.4,32.4,25.7,71,4,40
2015,5,18,33.4,26.3,71,2,40
2015,6,227.7,32.4,25.5,79,2,40
2015,7,152.1,31.7,25,78,3,220
2015,8,194.7,31.7,25.1,80,3,220
2015,9,228.2,31.4,24.9,82,3,220
2015,10,125.9,31.9,25.1,78,3,220
2015,11,34,31.7,25.7,77,4,40
2015,12,98.4,31,25,80,3,20
2016,1,116.4,30.6,24.5,77,4,40
2016,2,90.6,30.3,24.4,79,4,20
2016,3,4.3,31.9,25,72,3,40
2016,4,1.2,33.7,26.3,71,3,40
2016,5,166.4,33.7,26.3,74,3,40
2016,6,214.2,32.7,25.5,77,2,220
2016,7,378.6,32,25.3,80,2,40
2016,8,21,33.1,26.2,74,4,220
2016,9,240.3,32.8,25.2,80,2,220
2016,10,401.2,31.8,25.1,83,3,220
2016,11,159.7,30.9,24.9,81,3,20
2016,12,193.7,31,25.1,83,3,360
2017,1,282.8,29.5,24.5,83,4,360
2017,2,41.9,30,24.2,78,5,20
2017,3,93.9,30.7,24.6,79,4,20
2017,4,224.7,31.6,25,79,3,50
2017,5,75.7,32.7,26.1,79,2,50
2017,6,202.8,32.6,25.5,79,2,40
2017,7,190.9,31.6,24.9,82,2,220
2017,8,230.7,32.5,25.1,80,3,220
2017,9,357.6,32.1,24.9,83,2,220
2017,10,171.1,31.4,25.1,81,3,240
2017,11,125.8,31.4,25.7,81,3,40
2017,12,129.8,30.7,24.7,82,3,40
2018,1,239.5,30.1,24.5,83,4,40
2018,2,142.6,30.7,24.3,79,4,40
2018,3,69.9,31.4,24.8,77,4,20
2018,4,74.9,32.2,25.7,76,3,40
2018,5,98.9,33.3,26.1,75,3,50
2018,6,115.8,32.6,25.7,77,3,220
2018,7,148.1,32.6,25.5,76,4,220
2018,8,44.2,32.9,25.8,72,4,220
2018,9,195.7,32,25.2,78,4,240
2018,10,223.6,32.1,25,79,3,50
2018,11,78.8,30.9,25.1,80,3,40
2018,12,184.6,30.4,24.8,82,4,40
2019,1,134.5,29.7,24.3,77,5,20
2019,2,53.5,29.8,23.3,74,4,40
2019,3,14.9,31.3,23.8,72,4,40
2019,4,23.1,32.7,25.4,73,3,50
2019,5,14.2,34.5,26.8,73,2,60
2019,6,87.8,34.1,26.7,73,3,50
2019,7,225.3,32,25.3,79,3,240
2019,8,76.7,32.3,26,74,4,230
2019,9,100,32.9,25.9,73,3,240
2019,10,304.7,32.2,25.2,78,2,50
2019,11,60.3,31.9,25.4,77,3,220
2019,12,222.6,30.8,24.7,80,3,30
2020,1,50.8,30.8,24.8,79,4,30
2020,2,206,30.1,24.1,78,5,30
2020,3,7.2,32,24.9,71,3,50
2020,4,0.3,33.4,25.8,71,3,50
2020,5,36.6,34.1,27,75,3,50
2020,6,103.5,32.2,25.7,78,2,50
2020,7,280.8,32,25.6,79,2,40
2020,8,401.9,32.2,25.4,80,3,230
2020,9,155.3,32.5,25.3,80,2,50
2020,10,308.3,31.8,25.1,83,3,220
2020,11,79.7,31.7,25.3,81,3,40
2020,12,262.5,30.9,25.1,84,3,50
2021,1,209.2,30,24.5,84,4,10
2021,2,156.1,30.3,24.5,82,4,10
2021,3,90.2,31.5,25.2,77,3,40
2021,4,52,31.9,25.4,75,4,50
2021,5,120.6,32.6,26.2,78,3,50
2021,6,226.2,32.3,25.2,80,2,360
2021,7,130.3,32.6,26,76,4,230
2021,8,143.3,32.5,25.4,78,3,360
2021,9,124.4,32,25.2,80,2,360
2021,10,202.4,31.5,25.4,82,3,360
2021,11,146.4,31.9,25.6,80,3,40
2021,12,200.2,-999,-999,-999,5,10
2022,1,97.2,30.4,24.7,75,4,10
2022,2,59.6,30.7,24.9,75,5,30
2022,3,102.5,31.1,25.5,77,4,40
2022,4,368,30.6,25,78,3,30
2022,5,69.5,32.3,26,75,3,40
2022,6,179.8,31.8,25.4,72,2,50
2022,7,183.6,31.6,25.8,78,3,220
2022,8,398.9,31.3,25.3,78,2,360
2022,9,151,32.4,25.9,75,3,230
2022,10,347.6,31.1,25.6,82,3,40
2022,11,144,30.8,25.7,81,3,30
2022,12,125.6,29.8,25.1,84,4,30
2023,1,199.7,28.7,24.5,86,4,10
2023,2,99.1,29.8,24.9,83,4,30
2023,3,19.2,30.7,25.3,74,4,10
2023,4,28.8,32.1,26.4,72,3,50
2023,5,163.7,32.2,26.9,77,3,360
2023,6,180.8,31.7,25.9,79,2,50
2023,7,181.8,31.6,26,78,4,230
2023,8,159.5,32.5,26.2,76,4,220
2023,9,238.6,32,25.8,78,3,220
2023,10,331.3,32,25.8,80,3,40
2023,11,99.2,31.2,26.4,77,4,50
2023,12,89.8,30.9,26.1,78,4,40
2024,1,38,30.5,25.5,75,5,40
2024,2,60.2,30,25.3,75,4,30
2024,3,10.2,31.1,25.8,70,4,40
2024,4,3.6,32.3,27.1,69,4,40
2024,5,26.8,33.2,28,68,3,50
2024,6,199.2,32.2,26.8,76,2,60
2024,7,285.2,31.3,26.1,79,2,220
2024,8,192.1,32.6,26.5,78,3,220
2024,9,180.4,32,26.3,78,3,220
2024,10,87.4,31.9,26.1,78,3,220
2024,11,75.6,31.4,26.5,77,3,40
2024,12,186.4,30.5,26.1,81,3,360
