target,variant,Model,MAE,RMSE,MAPE,ME
price_regular_milled,outliers_kept,NAIVE,1.8084210526315796,2.8466647150656854,4.218338502107801,0.1226315789473683
price_regular_milled,outliers_kept,RF,1.8163160285536577,2.855305941915351,4.227421557555474,0.2187987225132732
price_regular_milled,outliers_kept,XGB,1.8470215854394303,2.8728749546535446,4.28958163447082,0.10938762885886
price_regular_milled,outliers_kept,HADT,1.903432587655923,2.8823677126660123,4.389727941387514,0.4875999181680869
price_regular_milled,outliers_removed,NAIVE,1.8084210526315796,2.8466647150656854,4.218338502107801,0.1226315789473683
price_regular_milled,outliers_removed,XGB,1.8103774856138783,2.865009171465202,4.202624213312633,0.2075290646805967
price_regular_milled,outliers_removed,RF,1.8323151343113515,2.873289799242406,4.242297303529108,0.3338567674117967
price_regular_milled,outliers_removed,HADT,1.8697907252705517,2.899022590243159,4.323708727823121,0.193159184076181
price_well_milled,outliers_kept,NAIVE,1.465,2.2995016622600737,2.773824677183144,0.1818421052631578
price_well_milled,outliers_kept,HADT,1.4641910324673808,2.31538237281125,2.77111726857182,0.2103783047532592
price_well_milled,outliers_kept,XGB,1.4742276010586344,2.3384116674807327,2.789941702808076,0.2891620828326496
price_well_milled,outliers_kept,RF,1.4681953727576704,2.3445359994741013,2.7789577147403466,0.4121948727787423
price_well_milled,outliers_removed,NAIVE,1.465,2.2995016622600737,2.773824677183144,0.1818421052631578
price_well_milled,outliers_removed,HADT,1.470797029656579,2.3097830929074714,2.784810465898265,0.2089092039442317
price_well_milled,outliers_removed,RF,1.4808318444188682,2.335809122527563,2.800208654720453,0.2524689069984935
price_well_milled,outliers_removed,XGB,1.503188761066842,2.348583618713694,2.844328423791969,0.1916717122710848
price_premium,outliers_kept,XGB,1.4125833197114503,2.2973625788513594,2.558736891803955,0.3165606444858407
price_premium,outliers_kept,NAIVE,1.4578947368421056,2.2995972187365883,2.6446962145368733,0.1568421052631579
price_premium,outliers_kept,RF,1.4240812983848508,2.315935260281093,2.5720860449830854,0.5543206063770537
price_premium,outliers_kept,HADT,1.4549208544350891,2.3557865535960127,2.636285855655276,0.2263057674207728
price_premium,outliers_removed,NAIVE,1.4578947368421056,2.2995972187365883,2.6446962145368733,0.1568421052631579
price_premium,outliers_removed,RF,1.4298343032685985,2.313641011206045,2.5854988319654626,0.3780786707723821
price_premium,outliers_removed,XGB,1.4198635372088149,2.326979954983988,2.568285510792335,0.3856788790108342
price_premium,outliers_removed,HADT,1.464699878020469,2.4121879341385477,2.6485997420740084,0.3658040815673767
