,rf,xgb,hadt
fert_ammophos,0.002190834121803813,0.0001810906,0.0006480510081180195
fert_ammosul,0.004167851215747179,0.0010861197,0.0005174594902857149
fert_complete,0.003960347532240264,0.00019152377,0.0006985348988960264
fert_dap,0.003849616769962534,0.0009224292,0.00039192073341575275
fert_mop,0.005511138502097716,0.00066443195,0.0008095676615666947
fert_urea_prilled,0.005177964842045963,0.003773042,0.0003812764431693279
headline_inflation_lag1,0.02364824596276577,0.0115242805,0.011372844640609132
own_price_lag1,0.022901045786532088,0.011862184,0.009222684545151577
own_price_lag2,0.03167719192289755,0.014816284,0.015542665868932696
own_price_lag3,0.0378838719698954,0.026519079,0.008574148237663084
own_price_roll3,0.017903756360631882,0.0050443322,0.003735144337927783
palay_production_mt,0.01849607280226243,0.009989453,0.015810680525929953
rain_hours,0.03456828267342768,0.019345243,0.00020721010730359552
rainfall,0.007628679708555367,0.0066601452,0.010152851978583014
rh,0.006598003878180771,0.0038760458,0.00045968226958799824
rice_contribution_lag1,0.0359104818625112,0.017762057,0.07900061822961649
rice_inflation_lag1,0.036056454334842454,0.024310844,0.0605332874501562
rice_stock_total_mt,0.029666070986765415,0.014467098,0.014479577638525457
soil_moisture,0.019938251347666452,0.017453259,0.012535179332031434
tmax,0.013917224665251754,0.011582873,5.054428355718918e-05
tmean,0.022267284938957903,0.018472832,0.00024735931919148076
tmin,0.007977417179497726,0.00968666,0.0007719170689935743
wind_speed,0.005343781700307107,0.0016840514,0.0
