,rf,xgb,hadt
fert_ammophos,0.0026136608236255435,0.0005822608,0.0008141199903128456
fert_ammosul,0.002096119999958255,0.0003309103,0.0008898249971444517
fert_complete,0.002661148552356863,0.0005627919,0.00028824732173011737
fert_dap,0.004390883424895626,0.0012706013,0.000748373915947754
fert_mop,0.0037065181380414062,0.00058900984,0.0006429408691256062
fert_urea_prilled,0.003261722929552682,0.003371974,0.0004126693545909367
headline_inflation_lag1,0.024392248814983964,0.02057107,0.042679071210555884
own_price_lag1,0.013749417656192519,0.012977472,0.0004713438118671611
own_price_lag2,0.018667833454843602,0.018137768,0.0027650757791078443
own_price_lag3,0.02212499533116741,0.02818619,0.04272261950622094
own_price_roll3,0.01318844258883123,0.006703171,0.0026698861100012718
palay_production_mt,0.01916805918412319,0.013798219,0.006798234240514357
rain_hours,0.02013766877225692,0.025460623,0.0003412886776817959
rainfall,0.00881885597925431,0.018184105,0.0004332410937689152
rh,0.007646505811667039,0.0028782466,0.003315810434382235
rice_contribution_lag1,0.02852478758285582,0.02453595,0.05233083859022826
rice_inflation_lag1,0.030563853384279183,0.045744263,0.10552907029652477
rice_stock_total_mt,0.015764486447278944,0.011278727,0.016133838518802002
soil_moisture,0.020298844047891344,0.023681905,0.006862400442794811
tmax,0.013675548205303882,0.0069816713,0.0005668002468146115
tmean,0.017652084809597374,0.021513224,0.0007558220316937593
tmin,0.006680805351630654,0.0056071193,0.00031514506165839667
wind_speed,0.001896514044412865,0.0,0.0006475684479435835
