,rf,xgb,hadt
fert_ammophos,0.0008316453739894778,0.00027107683,0.00016650343385114338
fert_ammosul,0.0010284882728312397,0.0006577008,0.00022006397845665462
fert_complete,0.00100381099384363,0.00044963052,0.00014687747376762486
fert_dap,0.0006962575435484779,0.000670293,9.476529971938937e-05
fert_mop,0.000475219865834515,0.00028751584,0.0002068672276172356
fert_urea_prilled,0.0015425874079669961,0.0033516712,6.340395066276956e-05
headline_inflation_lag1,0.02725039977697733,0.024077723,0.00019488310765582303
own_price_lag1,0.016723801797601672,0.01238372,0.001138003337143197
own_price_lag2,0.02300135363843849,0.016120786,0.0050126617483421156
own_price_lag3,0.03553263386836447,0.030447071,0.0330801470828344
own_price_roll3,0.017608112280418177,0.010443567,0.0015757390575176216
palay_production_mt,0.029018915150203096,0.014990905,0.017331882626578393
rain_hours,0.009104298752899581,0.008581559,0.00014862278649744757
rainfall,0.009998157897510735,0.0116299335,0.0003094164135444984
rh,0.017402373130984625,0.0078703975,0.008347331839225446
rice_contribution_lag1,0.02472697705066046,0.015012511,0.018179431762753467
rice_inflation_lag1,0.02628985594821921,0.028278237,0.014837887369273398
rice_stock_total_mt,0.031288083082933335,0.023745513,0.00028854210062963383
soil_moisture,0.03342750265089246,0.036512822,0.008504186867119633
tmax,0.019376495226458353,0.0094367815,0.00020398171180991548
tmean,0.021346651088984533,0.020963544,0.009760228139009477
tmin,0.013905593996035465,0.015553987,0.0003084920264562727
wind_speed,0.0015618682773479574,0.0009788488,0.00047564050473353274
