,rf,xgb,hadt
fert_ammophos,0.00025772878185430963,0.00019216047,0.00047260510944398574
fert_ammosul,0.004592346857641977,0.0024100544,0.00024911674841113506
fert_complete,0.0003035021693083171,0.00055587303,0.0003889436379055663
fert_dap,0.00035205637576355445,0.00021573751,3.9906706387344906e-05
fert_mop,0.0008650249570375159,0.00046540046,0.00048320886411881486
fert_urea_prilled,0.001749326916513219,0.003436024,0.0005371806496621302
headline_inflation_lag1,0.05145814966252432,0.032113776,0.0005870594126441487
own_price_lag1,0.018622715907846497,0.017041478,0.00871454415671071
own_price_lag2,0.020146553411868284,0.018076852,0.01421712577787077
own_price_lag3,0.07462825096321563,0.049901314,0.10979647225009652
own_price_roll3,0.025491766328058642,0.016207332,0.001491430026997168
palay_production_mt,0.025287191487666755,0.011771781,0.03114246382739135
rain_hours,0.013029374945603482,0.010436783,0.000352247998061249
rainfall,0.013827758157879311,0.007666609,0.00021553838511038475
rh,0.011428299049583002,0.003192073,0.012332776368291661
rice_contribution_lag1,0.023574638957337378,0.01641022,0.03725875730725385
rice_inflation_lag1,0.030082820537393386,0.026090663,0.03554475699447563
rice_stock_total_mt,0.04425567252134038,0.026276926,0.029096164644479162
soil_moisture,0.04981648120601553,0.02356317,0.02101789085567266
tmax,0.012723895380705652,0.00935901,0.0005660085624710311
tmean,0.015950133893891928,0.011657087,0.0070552831149768526
tmin,0.008516993929316265,0.009648837,0.0008867723832652351
wind_speed,0.0028117352874344153,0.0012441045,0.0002517042374118142
