,rf,xgb,hadt
fert_ammophos,0.0016039127678617003,0.00033188044,7.333242538556372e-05
fert_ammosul,0.0027133451450582725,0.0013761731,0.0001127468636398083
fert_complete,0.001586207052630124,0.0011261125,0.000357191907899237
fert_dap,0.00146984317235013,0.000898923,0.000623047274582278
fert_mop,0.001473138208691642,0.0007633942,7.262534964722811e-05
fert_urea_prilled,0.0031329946884321967,0.0023101321,0.000130495305419876
headline_inflation_lag1,0.03968524333345684,0.029706782,0.029873177479530316
own_price_lag1,0.008291189320184704,0.009464247,0.02020226121605923
own_price_lag2,0.016821426727167174,0.007653366,0.0001504229034195643
own_price_lag3,0.03635887256672101,0.023449445,0.0001420219673528438
own_price_roll3,0.01719812022846851,0.020591175,0.0001943899370588283
palay_production_mt,0.011702362709277209,0.0057001295,0.005065783899586104
rain_hours,0.01474026474607682,0.014468375,0.00011844844984041588
rainfall,0.01917894104965566,0.0110545615,0.008458879782260073
rh,0.005401514273148862,0.0028181672,0.0002493909133049467
rice_contribution_lag1,0.018955353358082284,0.017293353,6.848747369414821e-05
rice_inflation_lag1,0.031431152882039654,0.025225038,0.00015981049192190276
rice_stock_total_mt,0.033275144381522494,0.031905197,0.02577242472139397
soil_moisture,0.02447442624739594,0.036655303,0.005822738126471961
tmax,0.005079693077269261,0.007915373,0.00010130711406004282
tmean,0.013886725232525515,0.0064263945,0.0004345905283521744
tmin,0.014508589169162003,0.009684514,0.00020018064940486598
wind_speed,0.003283239564393784,0.0022209769,0.00020413514981096112
