,rf,xgb,hadt
fert_ammophos,0.0021653895612913513,0.00039444256,7.499991539858242e-05
fert_ammosul,0.002762079517442808,0.0017796142,8.900390399498952e-05
fert_complete,0.001755828773186975,0.0011594566,0.00026720725313114847
fert_dap,0.0030578919673044168,0.0010326208,0.000319949101571349
fert_mop,0.0026067744833539403,0.00031788673,0.00013136508800020374
fert_urea_prilled,0.0024036073152142964,0.0033080466,0.0001925851218480545
headline_inflation_lag1,0.03437596923568378,0.027040377,0.0338574584835606
own_price_lag1,0.009056253019223378,0.008233522,0.005306106435555591
own_price_lag2,0.014782117972051782,0.011069344,8.418833601790694e-05
own_price_lag3,0.026106140088718553,0.021012504,0.00030500863715466795
own_price_roll3,0.015773928231714793,0.010263353,0.012988804328821144
palay_production_mt,0.012134056319724904,0.009493263,0.003024784458840438
rain_hours,0.02093226159354892,0.017561208,0.00014562929722194024
rainfall,0.016807070205456815,0.012671601,0.00994669254763394
rh,0.007146377899747239,0.0024712665,0.0002809474358719256
rice_contribution_lag1,0.026720692505564556,0.020757815,0.00016292723309159328
rice_inflation_lag1,0.04294758817281964,0.033440907,0.00016207935003098622
rice_stock_total_mt,0.025037586021525112,0.024975296,0.03425583855504201
soil_moisture,0.02458896563733392,0.031092735,0.008644456155694636
tmax,0.0040886409849779475,0.0063363696,7.864792931076443e-05
tmean,0.00848426627612887,0.008266111,0.00255876460152702
tmin,0.009986743255423255,0.0076932646,0.00016486577780625136
wind_speed,0.0025677452702336802,0.0029250076,0.0001472224739395282
